"id","language","bank","card","merchant","merchantPhone","benefit","tAndCLink","from","to","storeLocation","imageUrl"
"AM-0167861","zh_TW","American Express","""美國運通卡""","Al Molo Ristorante Italiano","27307900","""自選食品及飲品9折優惠""","http://offers.amexnetwork.com/gvp?campaignID=Cam-0000521&category=Dining&categoryLanding=false&lang=zh-hk&issuerName=hk_prop#&offerId=OF-0167861","2016-01-01","2016-06-30","""尖沙咀海運大廈地下G63號鋪""","http://merchantgeo.force.com/selectsImage/servlet/servlet.FileDownload?retURL=%2FselectsImage%2Fapex%2FselectsImage&file=00Pa000000jGo6pEAC&file=00Pa000000jGo6pEAC"
"AM-0167989","zh_TW","American Express","""美國運通卡""","Alto 88 - 富豪香港酒店","28371799","""自選食品85折優惠(適用於星期日至星期四)"",""自選食品9折優惠(適用於星期五至星期六)""","http://offers.amexnetwork.com/gvp?campaignID=Cam-0000521&category=Dining&categoryLanding=false&lang=zh-hk&issuerName=hk_prop#&offerId=OF-0167989","2016-01-01","2016-06-30","""銅鑼灣怡和街88號31樓""","http://merchantgeo.force.com/selectsImage/servlet/servlet.FileDownload?retURL=%2FselectsImage%2Fapex%2FselectsImage%3Ffile%3D00Pa000000bPXf0EAG&file=00Pa000000bPXf0EAG"
"AM-0167284","zh_TW","American Express","""美國運通卡""","AMAZAKE","25377787","""自選菜式及飲品85折優惠""","http://offers.amexnetwork.com/gvp?campaignID=Cam-0000521&category=Dining&categoryLanding=false&lang=zh-hk&issuerName=hk_prop#&offerId=OF-0167284","2016-01-02","2016-06-30","""中環安慶臺1號安慶大廈地舖""","http://merchantgeo.force.com/selectsImage/servlet/servlet.FileDownload?retURL=%2FselectsImage%2Fapex%2FselectsImage&file=00Pa000000iSWlSEAW&file=00Pa000000iSWlSEAW"
"AM-0168040","zh_TW","American Express","""美國運通卡""","Anchor's Seafood & Beer House","29451111","""半自助午餐85折優惠(適用於星期一至星期五)"",""自助晚餐85折優惠(適用於星期一至星期日)"",""假日自助早午餐85折優惠(適用於星期六至星期日及公眾假期)""","http://offers.amexnetwork.com/gvp?campaignID=Cam-0000521&category=Dining&categoryLanding=false&lang=zh-hk&issuerName=hk_prop#&offerId=OF-0168040","2016-01-01","2016-06-30","""荃灣油柑頭青山公路123號""","http://merchantgeo.force.com/selectsImage/servlet/servlet.FileDownload?retURL=%2FselectsImage%2Fapex%2FselectsImage&file=00Pa000000jGyJXEA0&file=00Pa000000jGyJXEA0"
"AM-0168024","zh_TW","American Express","""美國運通卡""","AVA Restaurant Slash Bar - 隆堡麗景酒店","35500262","""自選食品及飲品85折優惠""","http://offers.amexnetwork.com/gvp?campaignID=Cam-0000521&category=Dining&categoryLanding=false&lang=zh-hk&issuerName=hk_prop#&offerId=OF-0168024","2016-01-01","2016-06-30","""尖沙咀赫德道8A 38樓""","http://merchantgeo.force.com/selectsImage/servlet/servlet.FileDownload?retURL=%2FselectsImage%2Fapex%2FselectsImage%3Ffile%3D00Pa000000bPXeMEAW&file=00Pa000000bPXeMEAW"
"AM-0167285","zh_TW","American Express","""美國運通卡""","Azure Restaurant Slash Bar","35189330","""自選菜式及飲品85折優惠""","http://offers.amexnetwork.com/gvp?campaignID=Cam-0000521&category=Dining&categoryLanding=false&lang=zh-hk&issuerName=hk_prop#&offerId=OF-0167285","2016-01-02","2016-06-30","""中環蘭桂坊雲咸街33號隆堡蘭桂坊酒店29-30樓""","http://merchantgeo.force.com/selectsImage/servlet/servlet.FileDownload?retURL=%2FselectsImage%2Fapex%2FselectsImage&file=00Pa000000iSXONEA4&file=00Pa000000iSXONEA4"
"AM-0167868","zh_TW","American Express","""美國運通卡""","Barg","28344114","""自選食品及飲品、午巿及晚市套餐85折優惠""","http://offers.amexnetwork.com/gvp?campaignID=Cam-0000521&category=Dining&categoryLanding=false&lang=zh-hk&issuerName=hk_prop#&offerId=OF-0167868","2016-01-01","2016-06-30","""1/F, Bartlock Centre, 3 Yiu Wa Street, Causeway Bay""","http://merchantgeo.force.com/selectsImage/servlet/servlet.FileDownload?retURL=%2FselectsImage%2Fapex%2FselectsImage&file=00Pa000000jGo8REAS&file=00Pa000000jGo8REAS"
"AM-0167302","zh_TW","American Express","""美國運通卡""","Beirut","28046611","""惠顧滿HK$300或以上，可獲贈免費生啤酒一杯(星期日至四晚上九時後適用)""","http://offers.amexnetwork.com/gvp?campaignID=Cam-0000521&category=Dining&categoryLanding=false&lang=zh-hk&issuerName=hk_prop#&offerId=OF-0167302","2016-01-02","2016-06-30","""中環德己立街27-37號榮華大廈A店一樓F室""","http://merchantgeo.force.com/selectsImage/servlet/servlet.FileDownload?retURL=%2FselectsImage%2Fapex%2FselectsImage&file=00Pa000000jEp9MEAS&file=00Pa000000jEp9MEAS"
"AM-0167238","zh_TW","American Express","""美國運通卡""","Bisque Lobster & Champagne","23318181","""自選菜式及飲品9折優惠""","http://offers.amexnetwork.com/gvp?campaignID=Cam-0000521&category=Dining&categoryLanding=false&lang=zh-hk&issuerName=hk_prop#&offerId=OF-0167238","2016-01-02","2016-06-30","""中環蘭桂坊一號1樓""","http://merchantgeo.force.com/selectsImage/servlet/servlet.FileDownload?retURL=%2FselectsImage%2Fapex%2FselectsImage&file=00Pa000000iS2KwEAK&file=00Pa000000iS2KwEAK"
"AM-0167286","zh_TW","American Express","""美國運通卡""","Bit Point","25237436","""自選菜式及飲品85折優惠""","http://offers.amexnetwork.com/gvp?campaignID=Cam-0000521&category=Dining&categoryLanding=false&lang=zh-hk&issuerName=hk_prop#&offerId=OF-0167286","2016-01-02","2016-06-30","""中環雲咸街46-48號地下""","http://merchantgeo.force.com/selectsImage/servlet/servlet.FileDownload?retURL=%2FselectsImage%2Fapex%2FselectsImage&file=00Pa000000iSXjPEAW&file=00Pa000000iSXjPEAW"
"AM-0167862","zh_TW","American Express","""美國運通卡""","BLT Steak","27303508","""自選食品及飲品9折優惠""","http://offers.amexnetwork.com/gvp?campaignID=Cam-0000521&category=Dining&categoryLanding=false&lang=zh-hk&issuerName=hk_prop#&offerId=OF-0167862","2016-01-01","2016-06-30","""尖沙咀海運大廈地下G62號鋪""","http://merchantgeo.force.com/selectsImage/servlet/servlet.FileDownload?retURL=%2FselectsImage%2Fapex%2FselectsImage&file=00Pa000000jGo7sEAC&file=00Pa000000jGo7sEAC"
"AM-0167859","zh_TW","American Express","""美國運通卡""","BOMBAY DREAMS, Indian","29710001","""自選食品及飲品9折優惠""","http://offers.amexnetwork.com/gvp?campaignID=Cam-0000521&category=Dining&categoryLanding=false&lang=zh-hk&issuerName=hk_prop#&offerId=OF-0167859","2016-01-01","2016-06-30","""中環雲咸街77號4樓""","http://merchantgeo.force.com/selectsImage/servlet/servlet.FileDownload?retURL=%2FselectsImage%2Fapex%2FselectsImage%3Ffile%3D00Pa000000bPRdIEAW&file=00Pa000000bPRdIEAW"
"AM-0167850","zh_TW","American Express","""美國運通卡""","Bouchon Bistro Francais","25259300","""自選食品及飲品9折優惠""","http://offers.amexnetwork.com/gvp?campaignID=Cam-0000521&category=Dining&categoryLanding=false&lang=zh-hk&issuerName=hk_prop#&offerId=OF-0167850","2016-01-01","2016-06-30","""中環蘇豪伊利近街49號""","http://merchantgeo.force.com/selectsImage/servlet/servlet.FileDownload?retURL=%2FselectsImage%2Fapex%2FselectsImage%3Ffile%3D00Pa000000bPRb7EAG&file=00Pa000000bPRb7EAG"
"AM-0167239","zh_TW","American Express","""美國運通卡""","Bread Street Kitchen & Bar","22301800","""自選菜式及飲品9折優惠""","http://offers.amexnetwork.com/gvp?campaignID=Cam-0000521&category=Dining&categoryLanding=false&lang=zh-hk&issuerName=hk_prop#&offerId=OF-0167239","2016-01-02","2016-06-30","""中環雲咸街33號蘭桂芳酒店M層""","http://merchantgeo.force.com/selectsImage/servlet/servlet.FileDownload?retURL=%2FselectsImage%2Fapex%2FselectsImage&file=00Pa000000iS2NuEAK&file=00Pa000000iS2NuEAK"
"AM-0167296","zh_TW","American Express","""美國運通卡""","Bungalow","26237868","""主菜餐牌買2送1""","http://offers.amexnetwork.com/gvp?campaignID=Cam-0000521&category=Dining&categoryLanding=false&lang=zh-hk&issuerName=hk_prop#&offerId=OF-0167296","2016-01-02","2016-06-30","""中環中環雲咸街60號中央廣場地下2室""","http://merchantgeo.force.com/selectsImage/servlet/servlet.FileDownload?retURL=%2FselectsImage%2Fapex%2FselectsImage&file=00Pa000000iSjnTEAS&file=00Pa000000iSjnTEAS"
"AM-0168019","zh_TW","American Express","""美國運通卡""","Cammino 意大利餐廳 - 香港怡東酒店","28376780","""自選食品85折優惠""","http://offers.amexnetwork.com/gvp?campaignID=Cam-0000521&category=Dining&categoryLanding=false&lang=zh-hk&issuerName=hk_prop#&offerId=OF-0168019","2016-01-01","2016-06-30","""銅鑼灣告士打道281號1樓""","http://merchantgeo.force.com/selectsImage/servlet/servlet.FileDownload?retURL=%2FselectsImage%2Fapex%2FselectsImage%3Ffile%3D00Pa000000bPXgwEAG&file=00Pa000000bPXgwEAG"
"AM-0167851","zh_TW","American Express","""美國運通卡""","Cecconi's Italian","25117889","""自選食品及飲品9折優惠""","http://offers.amexnetwork.com/gvp?campaignID=Cam-0000521&category=Dining&categoryLanding=false&lang=zh-hk&issuerName=hk_prop#&offerId=OF-0167851","2016-01-01","2016-06-30","""中環雲咸街77號2樓""","http://merchantgeo.force.com/selectsImage/servlet/servlet.FileDownload?retURL=%2FselectsImage%2Fapex%2FselectsImage%3Ffile%3D00Pa000000bPRbREAW&file=00Pa000000bPRbREAW"
"AM-0168033","zh_TW","American Express","""美國運通卡""","Centre Street Bar - 港島太平洋酒店","21311188","""自選食品及飲品85折優惠""","http://offers.amexnetwork.com/gvp?campaignID=Cam-0000521&category=Dining&categoryLanding=false&lang=zh-hk&issuerName=hk_prop#&offerId=OF-0168033","2016-01-01","2016-06-30","""西環干諾道西152號大堂""","http://merchantgeo.force.com/selectsImage/servlet/servlet.FileDownload?retURL=%2FselectsImage%2Fapex%2FselectsImage%3Ffile%3D00Pa000000bPYskEAG&file=00Pa000000bPYskEAG"
"AM-0168032","zh_TW","American Express","""美國運通卡""","Centre Street Kitchen - 港島太平洋酒店","21311188","""自選食品及飲品85折優惠""","http://offers.amexnetwork.com/gvp?campaignID=Cam-0000521&category=Dining&categoryLanding=false&lang=zh-hk&issuerName=hk_prop#&offerId=OF-0168032","2016-01-01","2016-06-30","""西環干諾道西152號1樓""","http://merchantgeo.force.com/selectsImage/servlet/servlet.FileDownload?retURL=%2FselectsImage%2Fapex%2FselectsImage%3Ffile%3D00Pa000000bPYskEAG&file=00Pa000000bPYskEAG"
"AM-0167287","zh_TW","American Express","""美國運通卡""","Chaky's Public House","28109881","""自選菜式及飲品85折優惠""","http://offers.amexnetwork.com/gvp?campaignID=Cam-0000521&category=Dining&categoryLanding=false&lang=zh-hk&issuerName=hk_prop#&offerId=OF-0167287","2016-01-02","2016-06-30","""中環雲咸街63號巴力大廈2樓""","http://merchantgeo.force.com/selectsImage/servlet/servlet.FileDownload?retURL=%2FselectsImage%2Fapex%2FselectsImage&file=00Pa000000jGqT6EAK&file=00Pa000000jGqT6EAK"
"AM-0168038","zh_TW","American Express","""美國運通卡""","City Art Restaurant - 帝都酒店","26943968","""午市及晚市自選食品9折優惠""","http://offers.amexnetwork.com/gvp?campaignID=Cam-0000521&category=Dining&categoryLanding=false&lang=zh-hk&issuerName=hk_prop#&offerId=OF-0168038","2016-01-01","2016-06-30","""沙田白鶴汀街八8號2樓""","http://merchantgeo.force.com/selectsImage/servlet/servlet.FileDownload?retURL=%2FselectsImage%2Fapex%2FselectsImage%3Ffile%3D00Pa000000bQJmhEAG&file=00Pa000000bQJmhEAG"
"AM-0167240","zh_TW","American Express","""美國運通卡""","Common Room","25253599","""自選菜式及飲品9折優惠""","http://offers.amexnetwork.com/gvp?campaignID=Cam-0000521&category=Dining&categoryLanding=false&lang=zh-hk&issuerName=hk_prop#&offerId=OF-0167240","2016-01-02","2016-06-30","""中環和安里8-13號和安樓1樓""","http://merchantgeo.force.com/selectsImage/servlet/servlet.FileDownload?retURL=%2FselectsImage%2Fapex%2FselectsImage&file=00Pa000000iS2OzEAK&file=00Pa000000iS2OzEAK"
"AM-0167852","zh_TW","American Express","""美國運通卡""","Craftsteak, Open Fire Cooking","25239500","""自選食品及飲品9折優惠""","http://offers.amexnetwork.com/gvp?campaignID=Cam-0000521&category=Dining&categoryLanding=false&lang=zh-hk&issuerName=hk_prop#&offerId=OF-0167852","2016-01-01","2016-06-30","""中環蘇豪伊利近街29號""","http://merchantgeo.force.com/selectsImage/servlet/servlet.FileDownload?retURL=%2FselectsImage%2Fapex%2FselectsImage%3Ffile%3D00Pa000000bPRbbEAG&file=00Pa000000bPRbbEAG"
"AM-0167241","zh_TW","American Express","""美國運通卡""","Déjà vu","28101100","""自選菜式及飲品9折優惠""","http://offers.amexnetwork.com/gvp?campaignID=Cam-0000521&category=Dining&categoryLanding=false&lang=zh-hk&issuerName=hk_prop#&offerId=OF-0167241","2016-01-02","2016-06-30","""中環蘭桂坊17號1樓""","http://merchantgeo.force.com/selectsImage/servlet/servlet.FileDownload?retURL=%2FselectsImage%2Fapex%2FselectsImage&file=00Pa000000iS2TREA0&file=00Pa000000iS2TREA0"
"AM-0168017","zh_TW","American Express","""美國運通卡""","eatstreet@pentalounge - pentahotel Hong Kong, Kowloon","31121998","""自選食品及飲品85折優惠""","http://offers.amexnetwork.com/gvp?campaignID=Cam-0000521&category=Dining&categoryLanding=false&lang=zh-hk&issuerName=hk_prop#&offerId=OF-0168017","2016-01-01","2016-06-30","""新蒲崗六合街19號1樓""","http://merchantgeo.force.com/selectsImage/servlet/servlet.FileDownload?retURL=%2FselectsImage%2Fapex%2FselectsImage&file=00Pa000000jGy1qEAC&file=00Pa000000jGy1qEAC"
"AM-0167242","zh_TW","American Express","""美國運通卡""","Espuma","29736088","""自選菜式及飲品9折優惠""","http://offers.amexnetwork.com/gvp?campaignID=Cam-0000521&category=Dining&categoryLanding=false&lang=zh-hk&issuerName=hk_prop#&offerId=OF-0167242","2016-01-02","2016-06-30","""中環威靈頓街2-8號M88 17樓""","http://merchantgeo.force.com/selectsImage/servlet/servlet.FileDownload?retURL=%2FselectsImage%2Fapex%2FselectsImage&file=00Pa000000iS2WWEA0&file=00Pa000000iS2WWEA0"
"AM-0167598","zh_TW","American Express","""美國運通卡""","Flamingo Frango","28992244","""惠顧滿HK$300或以上，可獲贈免費生啤酒一杯(星期日至四晚上九時後適用)""","http://offers.amexnetwork.com/gvp?campaignID=Cam-0000521&category=Dining&categoryLanding=false&lang=zh-hk&issuerName=hk_prop#&offerId=OF-0167598","2016-01-02","2016-06-30","""中環蘇豪士丹頓街36號B地舖""","http://merchantgeo.force.com/selectsImage/servlet/servlet.FileDownload?retURL=%2FselectsImage%2Fapex%2FselectsImage&file=00Pa000000jF0tIEAS&file=00Pa000000jF0tIEAS"
"AM-0167865","zh_TW","American Express","""美國運通卡""","Gees Restaurant & Bar","25473832","""晚市套餐、自選食品及飲品85折優惠""","http://offers.amexnetwork.com/gvp?campaignID=Cam-0000521&category=Dining&categoryLanding=false&lang=zh-hk&issuerName=hk_prop#&offerId=OF-0167865","2016-01-01","2016-06-30","""上環皇后大道西77-91號荷李活中心地下及閣樓G及H號鋪""","http://merchantgeo.force.com/selectsImage/servlet/servlet.FileDownload?retURL=%2FselectsImage%2Fapex%2FselectsImage%3Ffile%3D00Pa000000eOcwlEAC&file=00Pa000000eOcwlEAC"
"AM-0167402","zh_TW","American Express","""美國運通卡""","Graffiti","25262520","""惠顧滿HK$300或以上，可獲贈免費生啤酒一杯(星期日至四晚上九時後適用)""","http://offers.amexnetwork.com/gvp?campaignID=Cam-0000521&category=Dining&categoryLanding=false&lang=zh-hk&issuerName=hk_prop#&offerId=OF-0167402","2016-01-02","2016-06-30","""中環蘭桂坊17-22號好利商業大廈地下C及D舖""","http://merchantgeo.force.com/selectsImage/servlet/servlet.FileDownload?retURL=%2FselectsImage%2Fapex%2FselectsImage&file=00Pa000000iTKgMEAW&file=00Pa000000iTKgMEAW"
"AM-0167597","zh_TW","American Express","""美國運通卡""","HanJan","24086000","""惠顧滿HK$300或以上，可獲贈免費生啤酒一杯(星期日至四晚上九時後適用)""","http://offers.amexnetwork.com/gvp?campaignID=Cam-0000521&category=Dining&categoryLanding=false&lang=zh-hk&issuerName=hk_prop#&offerId=OF-0167597","2016-01-02","2016-06-30","""中環和安里4-5號地舖""","http://merchantgeo.force.com/selectsImage/servlet/servlet.FileDownload?retURL=%2FselectsImage%2Fapex%2FselectsImage&file=00Pa000000jF0qLEAS&file=00Pa000000jF0qLEAS"
"AM-0167406","zh_TW","American Express","""美國運通卡""","Holy Crab","21100100","""惠顧滿HK$300或以上，可獲贈免費生啤酒一杯(星期日至四晚上九時後適用)""","http://offers.amexnetwork.com/gvp?campaignID=Cam-0000521&category=Dining&categoryLanding=false&lang=zh-hk&issuerName=hk_prop#&offerId=OF-0167406","2016-01-02","2016-06-30","""中環蘭桂坊8-11號昌隆商業大廈3樓""","http://merchantgeo.force.com/selectsImage/servlet/servlet.FileDownload?retURL=%2FselectsImage%2Fapex%2FselectsImage&file=00Pa000000jEpLpEAK&file=00Pa000000jEpLpEAK"
"AM-0167405","zh_TW","American Express","""美國運通卡""","Hong Kong Brew House","25225559","""惠顧滿HK$300或以上，可獲贈免費生啤酒一杯(星期日至四晚上九時後適用)""","http://offers.amexnetwork.com/gvp?campaignID=Cam-0000521&category=Dining&categoryLanding=false&lang=zh-hk&issuerName=hk_prop#&offerId=OF-0167405","2016-01-02","2016-06-30","""中環蘭桂坊德己笠街21號地下及地庫""","http://merchantgeo.force.com/selectsImage/servlet/servlet.FileDownload?retURL=%2FselectsImage%2Fapex%2FselectsImage&file=00Pa000000iTLCMEA4&file=00Pa000000iTLCMEA4"
"AM-0167407","zh_TW","American Express","""美國運通卡""","iCON","25222066","""惠顧滿HK$300或以上，可獲贈免費生啤酒一杯(星期日至四晚上九時後適用)""","http://offers.amexnetwork.com/gvp?campaignID=Cam-0000521&category=Dining&categoryLanding=false&lang=zh-hk&issuerName=hk_prop#&offerId=OF-0167407","2016-01-02","2016-06-30","""中環雲咸街63號巴力大廈地下""","http://merchantgeo.force.com/selectsImage/servlet/servlet.FileDownload?retURL=%2FselectsImage%2Fapex%2FselectsImage&file=00Pa000000iTLEqEAO&file=00Pa000000iTLEqEAO"
"AM-0167295","zh_TW","American Express","""美國運通卡""","Jashan Celebrating Indian Cuisine","31055300","""自選菜式及飲品85折優惠""","http://offers.amexnetwork.com/gvp?campaignID=Cam-0000521&category=Dining&categoryLanding=false&lang=zh-hk&issuerName=hk_prop#&offerId=OF-0167295","2016-01-02","2016-06-30","""中環蘇豪荷李活道23號金珀苑1樓""","http://merchantgeo.force.com/selectsImage/servlet/servlet.FileDownload?retURL=%2FselectsImage%2Fapex%2FselectsImage&file=00Pa000000iSjlEEAS&file=00Pa000000iSjlEEAS"
