"id","language","bank","card","merchant","merchantPhone","benefit","tAndCLink","from","to","storeLocation","imageUrl","cuisineType"
"CCB-1","en","China Construction Bank","""銀聯信用卡受理商戶"",""建行龍卡信用卡受理商戶""","佳寧娜潮州菜","25111282","""惠顧晚市滿HKD300送水晶包一客""","http://www.asia.ccb.com/hongkong_tc/personal/credit_cards/yearroundoffers/diningchi/index_content.html#tnc_desktop-carrianna","2016-01-01","2016-12-31","""灣仔告士打道151號安盛中心1樓""","","chinese"
"CCB-2","en","China Construction Bank","""建行龍卡信用卡受理商戶""","薔紅特色茶餐廳","28383783","""惠顧指定套餐半價"",""免收加一""","http://www.asia.ccb.com/hongkong_tc/personal/credit_cards/yearroundoffers/diningchi/index_content.html#tnc_desktop-rose-kitchen","2016-01-01","2016-12-31","""灣仔莊士敦道194-204號灣仔商業中心1樓""","","chinese"
"CCB-3","en","China Construction Bank","""銀聯信用卡受理商戶"",""建行龍卡信用卡受理商戶""","霸王山莊","27231003","""指定晚市套餐7折""","http://www.asia.ccb.com/hongkong_tc/personal/credit_cards/yearroundoffers/diningchi/index_content.html#tnc_desktop-kings-lodge","2016-01-01","2016-12-31","""尖沙咀漆咸道南67-71號安年大廈地下""","","chinese"
"CCB-4","en","China Construction Bank","""建行龍卡信用卡受理商戶""","西龍纤味","31055303","""全單貨品9折""","http://www.asia.ccb.com/hongkong_tc/personal/credit_cards/yearroundoffers/diningchi/index_content.html#tnc_desktop-slim-taste","2016-01-01","2016-12-31","""樂富聯合道198號樂富廣場1樓1104號舖""","","chinese"
"CCB-5","en","China Construction Bank","""建行龍卡信用卡受理商戶""","西龍傳香飯糰","31055303","""正價貨品9折""","http://www.asia.ccb.com/hongkong_tc/personal/credit_cards/yearroundoffers/diningchi/index_content.html#tnc_desktop-qq-rice","2016-01-01","2016-12-31","""大嶼山翔天路1號香港國際機場1號客運大樓7T087""","","chinese"
"CCB-6","en","China Construction Bank","","The Salted Pig","2367099027079459","""星期一至四：自選菜式85折"",""星期五至日：自選菜式9折""","http://www.asia.ccb.com/hongkong_tc/personal/credit_cards/yearroundoffers/diningwes/index_content.html#tnc_desktop-the-salted-pig","2016-01-01","2016-12-31","""尖沙咀諾士佛臺1號地舖"",""西灣河鯉景灣太康街45號地下GB8-10號舖""","","western"
"CCB-7","en","China Construction Bank","""銀聯信用卡受理商戶""","Bouchon Bistro Francais","25259300","""自選菜式9折""","http://www.asia.ccb.com/hongkong_tc/personal/credit_cards/yearroundoffers/diningwes/index_content.html#tnc_desktop-bouchon-bistro-francais","2016-01-01","2016-12-31","""中環蘇豪伊利近街49號地下""","","western"
"CCB-8","en","China Construction Bank","""銀聯信用卡受理商戶""","Craftsteak","25260999","""自選菜式9折""","http://www.asia.ccb.com/hongkong_tc/personal/credit_cards/yearroundoffers/diningwes/index_content.html#tnc_desktop-craftsteak","2016-01-01","2016-12-31","""中環蘇豪伊利近街29號""","","western"
"CCB-9","en","China Construction Bank","""銀聯信用卡受理商戶""","FoFo by el Willy","29002009","""每位客人可獲贈Sangria一杯（適用於午市及晚市）""","http://www.asia.ccb.com/hongkong_tc/personal/credit_cards/yearroundoffers/diningwes/index_content.html#tnc_desktop-fofo","2016-01-01","2016-12-31","""中環威靈頓街2-8號M88 20樓""","","western"
"CCB-10","en","China Construction Bank","","Harvey Nichols四樓餐廳","36953389","""以HKD458享用特色4道菜晚市套餐 (原價：HKD558)""","http://www.asia.ccb.com/hongkong_tc/personal/credit_cards/yearroundoffers/diningwes/index_content.html#tnc_desktop-harvey-nichols","2016-01-01","2016-12-31","""中環德輔道中12-16號置地廣場Harvey Nichols 4樓""","","western"
"CCB-11","en","China Construction Bank","""銀聯信用卡受理商戶""","La Paloma","22916161","""每位客人可獲贈Sangria一杯（適用於午市及晚市）""","http://www.asia.ccb.com/hongkong_tc/personal/credit_cards/yearroundoffers/diningwes/index_content.html#tnc_desktop-la-paloma","2016-01-01","2016-12-31","""西環皇后大道西189號SoHo189一樓""","","western"
"CCB-12","en","China Construction Bank","","Lily & Bloom","28106166","""惠顧晚市並預先訂座，每位客人可獲贈Prosecco一杯（週一至日）""","http://www.asia.ccb.com/hongkong_tc/personal/credit_cards/yearroundoffers/diningwes/index_content.html#tnc_desktop-lily-and-bloom","2016-01-01","2016-12-31","""中環蘭桂坊雲咸街33號LKF Tower 5樓及6樓""","","western"
"CCB-13","en","China Construction Bank","""銀聯信用卡受理商戶""","Lupa","27966500","""自選菜式9折""","http://www.asia.ccb.com/hongkong_tc/personal/credit_cards/yearroundoffers/diningwes/index_content.html#tnc_desktop-lupa","2016-01-01","2016-12-31","""中環皇后大道中31號陸海通大廈3樓""","","western"
