"id","language","bank","card","merchant","merchantPhone","benefit","tAndCLink","from","to","storeLocation","imageUrl","cuisineType"
"CB-1726","en","Citibank","""Citi® Ultima Card"",""Citi Prestige® Card"",""Citi® PremierMiles Card"",""Citi® Rewards Card And Octopus"",""Citi® Platinum Card""","1969 KITCHEN ONE","25550300","""10% off food and beverages""","https://www.citibank.com.hk/english/credit-cards/promotions-year-round-privileges.htm?lid=HKENCBLCCLNTLYEARROUNDOFFERSCCLN","2016-01-01","2016-12-31","""75 Tai Pa Street, Tsuen Wan, NT""","https://www.citibank.com.hk/english/credit-cards/images/logo/img1726.jpg","western"
"CB-1386","en","Citibank","""Citi® Ultima Card"",""Citi Prestige® Card"",""Citi® PremierMiles Card"",""Citi® Rewards Card And Octopus"",""Citi® Platinum Card""","Akita Shabu Shabu Specialist","28386226","""10% off à la carte dinner menu""","https://www.citibank.com.hk/english/credit-cards/promotions-year-round-privileges.htm?lid=HKENCBLCCLNTLYEARROUNDOFFERSCCLN","2015-06-01","2016-12-31","""10/F, QRE Plaza, 202 Queen's Road East, Wan Chai, HKI"",""2/F, 8 Observatory Court, Tsim Sha Tsui, KLN""","https://www.citibank.com.hk/english/credit-cards/images/logo/img1386.jpg","asian,japanese"
"CB-1563","en","Citibank","""Citi® Ultima Card"",""Citi Prestige® Card"",""Citi® PremierMiles Card"",""Citi® Rewards Card And Octopus"",""Citi® Platinum Card""","Akuha Ramen","23779944","""10% off food and beverages""","https://www.citibank.com.hk/english/credit-cards/promotions-year-round-privileges.htm?lid=HKENCBLCCLNTLYEARROUNDOFFERSCCLN","2016-01-01","2016-12-31","""B3/F,  Prudential Centre, 222 Nathan Road, Jordan, KLN""","https://www.citibank.com.hk/english/credit-cards/images/logo/img1563.jpg","asian,japanese"
"CB-1594","en","Citibank","""Citi® Ultima Card"",""Citi Prestige® Card"",""Citi® PremierMiles Card"",""Citi® Rewards Card And Octopus"",""Citi® Platinum Card""","Al Molo Ristorante Italiano","27307900","""10% off à la carte menu""","https://www.citibank.com.hk/english/credit-cards/promotions-year-round-privileges.htm?lid=HKENCBLCCLNTLYEARROUNDOFFERSCCLN","2016-01-01","2016-12-31","""Shop G63, G/F, Ocean Terminal, Tsim Sha Tsui, KLN""","https://www.citibank.com.hk/english/credit-cards/images/logo/img1594.jpg","western"
"CB-1678","en","Citibank","""Citi® Ultima Card"",""Citi Prestige® Card"",""Citi® PremierMiles Card"",""Citi® Rewards Card And Octopus"",""Citi® Platinum Card""","Amoyster Grill","27281608","""10% off à la carte menu""","https://www.citibank.com.hk/english/credit-cards/promotions-year-round-privileges.htm?lid=HKENCBLCCLNTLYEARROUNDOFFERSCCLN","2016-01-01","2016-12-31","""Shop B, 2/F, Hundred City Centre, 7-17 Amoy Street, Wan Chai, HKI""","https://www.citibank.com.hk/english/credit-cards/images/logo/img1678.jpg","western"
"CB-1491","en","Citibank","""Citi® Ultima Card"",""Citi Prestige® Card"",""Citi® PremierMiles Card"",""Citi® Rewards Card And Octopus"",""Citi® Platinum Card""","Angelina Parisian Tearoom, Boutique & Restaurant: Boutique","31880842","""10% off food and beverages""","https://www.citibank.com.hk/english/credit-cards/promotions-year-round-privileges.htm?lid=HKENCBLCCLNTLYEARROUNDOFFERSCCLN","2015-11-16","2016-12-31","""Lane Crawford, Podium 3, IFC Mall, 8 Finance Street, Central, HKI""","https://www.citibank.com.hk/english/credit-cards/images/logo/img1491.jpg","western"
"CB-1638","en","Citibank","""Citi® Ultima Card"",""Citi Prestige® Card"",""Citi® PremierMiles Card"",""Citi® Rewards Card And Octopus"",""Citi® Platinum Card""","Angelina Parisian Tearoom, Boutique & Restaurant: Restaurant","31880842","""10% off food and beverages""","https://www.citibank.com.hk/english/credit-cards/promotions-year-round-privileges.htm?lid=HKENCBLCCLNTLYEARROUNDOFFERSCCLN","2015-11-16","2016-12-31","""Lane Crawford, Podium 3, IFC Mall, 8 Finance Street, Central, HKI""","https://www.citibank.com.hk/english/credit-cards/images/logo/img1638.jpg","western"
"CB-1642","en","Citibank","""Citi® Ultima Card"",""Citi Prestige® Card"",""Citi® PremierMiles Card"",""Citi® Rewards Card And Octopus"",""Citi® Platinum Card""","Ant One Casual Dining","24539889","""HK$50 discount""","https://www.citibank.com.hk/english/credit-cards/promotions-year-round-privileges.htm?lid=HKENCBLCCLNTLYEARROUNDOFFERSCCLN","2016-01-01","2016-12-31","""Shop UG22, UG/F, Olympian City 1, Tai Kok Tsui, KLN"",""Shop G9, G/F, Fashion World, Phase 2, Wonderful Worlds of Whampoa, Hung Hom, KLN"",""Shop 189-195, 1/F, Metroplaza, Kwai Fong, NT"",""Shop G13, G/F, Temple Mall North, 136 Lung Cheung Road, Wong Tai Sin, KLN""","https://www.citibank.com.hk/english/credit-cards/images/logo/img1642.jpg","western"
"CB-1644","en","Citibank","""Citi® Ultima Card"",""Citi Prestige® Card"",""Citi® PremierMiles Card"",""Citi® Rewards Card And Octopus"",""Citi® Platinum Card""","Asian Cooking","23216698","""HK$50 discount""","https://www.citibank.com.hk/english/credit-cards/promotions-year-round-privileges.htm?lid=HKENCBLCCLNTLYEARROUNDOFFERSCCLN","2016-01-01","2016-12-31","""Shop 3011, 3/F, Kolour‧Tsuen Wan 1, 68 Chung On Street, Tsuen Wan, NT""","https://www.citibank.com.hk/english/credit-cards/images/logo/img1644.jpg","others"
"CB-1469","en","Citibank","""Citi® Ultima Card"",""Citi Prestige® Card"",""Citi® PremierMiles Card"",""Citi® Rewards Card And Octopus"",""Citi® Platinum Card""","B P International - Cafe by the park","23787673","""15% off lunch and dinner buffet""","https://www.citibank.com.hk/english/credit-cards/promotions-year-round-privileges.htm?lid=HKENCBLCCLNTLYEARROUNDOFFERSCCLN","2016-01-01","2016-12-31","""UG/F, 8 Austin Road, Tsim Sha Tsui, KLN""","https://www.citibank.com.hk/english/credit-cards/images/logo/img1469.jpg","western"
