"id","language","bank","card","merchant","merchantPhone","benefit","tAndCLink","from","to","storeLocation","imageUrl"
"DBS-15","en","DBS","""DBS Black World MasterCard®"",""DBS Black American Express® Card"",""DBS Eminent Card"",""DBS Platinum Credit Card"",""COMPASS VISA & CV+"",""Other DBS Credit Cards""","Craftsteak Open Fire Cooking","25239500","""10% discount on à la carte menu""","http://www.dbs.com.hk/personal/promotion/craftsteakopenfirecooking-en","2016-01-01","2016-12-31","""29 Elgin Street, Soho, Central""","http://www.dbs.com.hk/iwov-resources/images/creditcards/offers/small-thumbnail-craftsteakopenfirecooking-en.jpg"
"DBS-36","en","DBS","""DBS Black World MasterCard®"",""DBS Black American Express® Card"",""DBS Eminent Card"",""DBS Platinum Credit Card"",""COMPASS VISA & CV+"",""Other DBS Credit Cards""","Dynastie Kitchen","29896028","""10% discount on dine-in dinner from Monday to Friday""","http://www.dbs.com.hk/personal/promotion/dynastiekitchen-en","2016-01-01","2016-12-31","""Shop 110, The Arcade, 100 Cyberport Road, Pok Fu Lam""","http://www.dbs.com.hk/iwov-resources/images/creditcards/offers/small-thumbnail-dynastiekitchen-en.jpg"
"DBS-20","en","DBS","""DBS Black World MasterCard®"",""DBS Black American Express® Card"",""DBS Eminent Card"",""DBS Platinum Credit Card"",""COMPASS VISA & CV+"",""Other DBS Credit Cards""","Kings' Lodge","27231003","""30% discount on designated set dinner""","http://www.dbs.com.hk/personal/promotion/kingslodge-en","2016-01-01","2016-12-31","""G/F, Oriental Centre, 67-71 Chatham Road South, Tsim Sha Tsui""","http://www.dbs.com.hk/iwov-resources/images/creditcards/offers/small-thumbnail-kingslodge-en.jpg"
"DBS-35","en","DBS","""DBS Black World MasterCard®"",""DBS Black American Express® Card"",""DBS Eminent Card"",""DBS Platinum Credit Card"",""COMPASS VISA & CV+"",""Other DBS Credit Cards""","Bombay Dreams Indian","29710001","""10% discount on à la carte menu""","http://www.dbs.com.hk/personal/promotion/bombaydreamsindian-en","2016-01-01","2016-12-31","""4/F, 77 Wyndham Street, Central""","http://www.dbs.com.hk/iwov-resources/images/creditcards/offers/small-thumbnail-bombaydreamsindian-en.jpg"
"DBS-42","en","DBS","""DBS Black World MasterCard®"",""DBS Black American Express® Card"",""DBS Eminent Card"",""DBS Platinum Credit Card"",""COMPASS VISA & CV+""","Red Wine Village","34269988","""10% discount on two regular-priced wine""","http://www.dbs.com.hk/personal/promotion/redwinevillage-en","2016-01-01","2016-12-31","""Shop UG23, Fitfort, 560 Kings Road, North Point""","http://www.dbs.com.hk/iwov-resources/images/creditcards/offers/small-thumbnail-redwinevillage-en.jpg"
"DBS-33","en","DBS","""DBS Black World MasterCard®"",""DBS Eminent Card"",""DBS Platinum Credit Card"",""COMPASS VISA & CV+"",""Other DBS Credit Cards"",""DBS Treasures ATM Card""","Hung Fook Tong","29202206","""A complimentary same flavor tortoise jelly upon purchase a set of herbal tortoise plastron jelly coupon set (10pcs) or lucid ganoderma tortoise plastron jelly coupon set (10pcs)""","http://www.dbs.com.hk/personal/promotion/HungFookTong-en","2016-01-01","2016-12-31","""All Outlets""","http://www.dbs.com.hk/iwov-resources/images/creditcards/offers/small-thumbnail-HungFookTong-en.jpg"
"DBS-37","en","DBS","""DBS Black World MasterCard®"",""DBS Black American Express® Card"",""DBS Eminent Card"",""DBS Platinum Credit Card"",""COMPASS VISA & CV+"",""Other DBS Credit Cards""","Dynastie Shanghai","29896120","""10% discount on dine-in dinner from Monday to Friday""","http://www.dbs.com.hk/personal/promotion/dynastieshanghai-en","2016-01-01","2016-12-31","""Shop 304, The Arcade, 100 Cyberport Road, Pok Fu Lam""","http://www.dbs.com.hk/iwov-resources/images/creditcards/offers/small-thumbnail-dynastieshanghai-en.jpg"
"DBS-29","en","DBS","""DBS Black World MasterCard®"",""DBS Black American Express® Card"",""DBS Eminent Card"",""DBS Platinum Credit Card"",""COMPASS VISA & CV+"",""Other DBS Credit Cards""","Bee Cheng Hiang","28156969","""10% discount on regular-priced meat items""","http://www.dbs.com.hk/personal/promotion/beechenghiang-en","2016-01-01","2016-12-31","""All outlet""","http://www.dbs.com.hk/iwov-resources/images/creditcards/offers/small-thumbnail-beechenghiang-en.jpg"
"DBS-38","en","DBS","""DBS Black World MasterCard®"",""DBS Black American Express® Card"",""DBS Eminent Card"",""DBS Platinum Credit Card"",""COMPASS VISA & CV+"",""Other DBS Credit Cards""","Good Wine Cellar","31153833","""10% discount on regular-priced items""","http://www.dbs.com.hk/personal/promotion/goodwinecellar-en","2016-01-01","2016-12-31","""Shop A, G/F, 21-25 Pak Tai Street, Tokwawan""","http://www.dbs.com.hk/iwov-resources/images/creditcards/offers/small-thumbnail-goodwinecellar-en.jpg"
"DBS-34","en","DBS","""DBS Black World MasterCard®"",""DBS Black American Express® Card"",""DBS Eminent Card"",""DBS Platinum Credit Card"",""COMPASS VISA & CV+"",""Other DBS Credit Cards""","Jebsen Fine Wines","29262312","""15% discount on Jebsen Fine Wines online shop""","http://www.dbs.com.hk/personal/promotion/jebsenfinewines-en","2016-01-01","2016-12-31","""www.jebsenfinewines.com""","http://www.dbs.com.hk/iwov-resources/images/creditcards/offers/small-thumbnail-jebsenfinewines-en.jpg"
"DBS-9","en","DBS","""DBS Black World MasterCard®"",""DBS Black American Express® Card"",""DBS Eminent Card"",""DBS Platinum Credit Card"",""COMPASS VISA & CV+"",""Other DBS Credit Cards""","Maria's Bakery","23716350","""10% discount on Attentive Series Whole Cake""","http://www.dbs.com.hk/personal/promotion/mariasbakery-en","2016-01-01","2016-12-31","""All outlet""","http://www.dbs.com.hk/iwov-resources/images/creditcards/offers/small-thumbnail-mariasbakery-en.jpg"
"DBS-30","en","DBS","""DBS Black World MasterCard®"",""DBS Black American Express® Card"",""DBS Eminent Card"",""DBS Platinum Credit Card"",""COMPASS VISA & CV+"",""Other DBS Credit Cards""","Ivan The Kozak","28511193","""A complimentary shot of vodka upon every spending of HK$250 or above and an extra complimentary bottle of house red or white upon spending HK$800 or above""","http://www.dbs.com.hk/personal/promotion/ivanthekozak-en","2016-01-01","2016-12-31","""G/F, 46-48 Coohrane Street, Central""","http://www.dbs.com.hk/iwov-resources/images/creditcards/offers/small-thumbnail-ivanthekozak-en.jpg"
"DBS-17","en","DBS","""DBS Black World MasterCard®"",""DBS Black American Express® Card"",""DBS Eminent Card"",""DBS Platinum Credit Card"",""COMPASS VISA & CV+"",""Other DBS Credit Cards""","Fire Well Hot Pot &amp; Seafood Restaurant","25474508","""A complimentary shark fish ball upon patronage""","http://www.dbs.com.hk/personal/promotion/firewellhotpotandseafoodrestaurant-en","2016-01-01","2016-12-31","""Shop 1, G/F, Tung Wai Garden, 419 Queen's Road West, Shek Tong Tsui""","http://www.dbs.com.hk/iwov-resources/images/creditcards/offers/small-thumbnail-firewellhotpotandseafoodrestaurant-en.jpg"
"DBS-27","en","DBS","""DBS Black World MasterCard®"",""DBS Black American Express® Card"",""DBS Eminent Card"",""DBS Platinum Credit Card"",""COMPASS VISA & CV+"",""Other DBS Credit Cards""","Nahm Vietnamese &amp; Thai","28107575","""10% discount on à la carte menu""","http://www.dbs.com.hk/personal/promotion/nahmvietnameseandthai-en","2016-01-01","2016-12-31","""Shop 1045, 1/F, Elements, 1 Austin Road West, Tsim Sha Tsui""","http://www.dbs.com.hk/iwov-resources/images/creditcards/offers/small-thumbnail-nahmvietnameseandthai-en.jpg"
"DBS-44","en","DBS","""DBS Black World MasterCard®"",""DBS Black American Express® Card"",""DBS Eminent Card"",""DBS Platinum Credit Card"",""COMPASS VISA & CV+"",""Other DBS Credit Cards""","Manya Japanese Restaurant","36223366","""A complimentary bottle of sake upon spending on dinner buffet""","http://www.dbs.com.hk/personal/promotion/manyajapaneserestaurant-en","2016-01-01","2016-12-31","""8/F, Causeway Bay Plaza 2, 463-483 Lockhart Road, Causeway Bay""","http://www.dbs.com.hk/iwov-resources/images/creditcards/offers/small-thumbnail-manyajapaneserestaurant-en.jpg"
"DBS-46","en","DBS","""DBS Black World MasterCard®"",""DBS Black American Express® Card"",""DBS Eminent Card"",""DBS Platinum Credit Card"",""COMPASS VISA & CV+"",""Other DBS Credit Cards""","SkyZone Deck and Lounge","39198338","""10% discount on food and beverage""","http://www.dbs.com.hk/personal/promotion/skyzonedeckandlounge-en","2016-01-01","2016-12-31","""30/F, 86 Tai Kok Tsui Road, Tai Kok Tsui""","http://www.dbs.com.hk/iwov-resources/images/creditcards/offers/small-thumbnail-skyzonedeckandlounge-en.jpg"
"DBS-24","en","DBS","""DBS Black World MasterCard®"",""DBS Black American Express® Card"",""DBS Eminent Card"",""DBS Platinum Credit Card"",""COMPASS VISA & CV+"",""Other DBS Credit Cards""","La Locanda Italian Cuisine","27859600","""10% discount on à la carte menu""","http://www.dbs.com.hk/personal/promotion/lalocandaitaliancuisine-en","2016-01-01","2016-12-31","""Shop 402, 4/F, Ocean Terminal, Harbour City, Tsim Sha Tsui""","http://www.dbs.com.hk/iwov-resources/images/creditcards/offers/small-thumbnail-lalocandaitaliancuisine-en.jpg"
"DBS-26","en","DBS","""DBS Black World MasterCard®"",""DBS Black American Express® Card"",""DBS Eminent Card"",""DBS Platinum Credit Card"",""COMPASS VISA & CV+"",""Other DBS Credit Cards""","Premier Fine Wine","28080932","""10% discount on regular-priced items""","http://www.dbs.com.hk/personal/promotion/premierfinewine-en","2016-01-01","2016-12-31","""Flat 1821-1821A, 18/F, Star House, 3 Salisbury Road, Tsim Sha Tsui""","http://www.dbs.com.hk/iwov-resources/images/creditcards/offers/small-thumbnail-premierfinewine-en.jpg"
"DBS-16","en","DBS","""DBS Black World MasterCard®"",""DBS Black American Express® Card"",""DBS Eminent Card"",""DBS Platinum Credit Card"",""COMPASS VISA & CV+"",""Other DBS Credit Cards""","Bouchon Bistro Francais","25259300","""10% discount on à la carte menu""","http://www.dbs.com.hk/personal/promotion/bouchonbistrofrancais-en","2016-01-01","2016-12-31","""G/F, 49, Elgin Street, Soho, Central""","http://www.dbs.com.hk/iwov-resources/images/creditcards/offers/small-thumbnail-bouchonbistrofrancais-en.jpg"
"DBS-40","en","DBS","""DBS Black World MasterCard®"",""DBS Black American Express® Card"",""DBS Eminent Card"",""DBS Platinum Credit Card"",""COMPASS VISA & CV+"",""Other DBS Credit Cards""","Shanghai Lo","31253232","""10% discount on à la carte menu""","http://www.dbs.com.hk/personal/promotion/shanghailo-en","2016-01-01","2016-12-31","""1/F, 5 Tonnochy Road, Wan Chai""","http://www.dbs.com.hk/iwov-resources/images/creditcards/offers/small-thumbnail-shanghailo-en.jpg"
