"id","language","bank","card","merchant","merchantPhone","benefit","tAndCLink","from","to","storeLocation","imageUrl"
"HSBC-1","en","HSBC","""HSBC Premier credit card"",""HSBC Advance credit card"",""HSBC Platinum credit card"",""HSBC Others credit card""","Grand Hyatt Hong Kong - Grand Café","25847722","""15% off food (Monday to Sunday)""","https://www.redhotoffers.hsbc.com.hk//media/381505/tnc_YRO2016_Batch7_70791_GrandHyattHongKongGrandCafe_E.pdf","2016-01-01","2016-12-31","""Lobby, 1 Harbour Road, Wan Chai, Hong Kong""","https://www.redhotoffers.hsbc.com.hk/media/381532/logo_YRO2016_Batch7_70791-70795.jpg"
"HSBC-2","en","HSBC","""HSBC Premier credit card"",""HSBC Advance credit card"",""HSBC Platinum credit card"",""HSBC Others credit card""","Grand Hyatt Hong Kong - Grissini","25847722","""15% off food (Monday to Sunday)""","https://www.redhotoffers.hsbc.com.hk//media/381529/tnc_YRO2016_Batch7_70794_GrandHyattHongKongGrissini_E.pdf","2016-01-01","2016-12-31","""2/F, 1 Harbour Road, Wan Chai, Hong Kong""","https://www.redhotoffers.hsbc.com.hk/media/381532/logo_YRO2016_Batch7_70791-70795.jpg"
"HSBC-3","en","HSBC","""HSBC Premier credit card"",""HSBC Advance credit card"",""HSBC Platinum credit card"",""HSBC Others credit card""","Grand Hyatt Hong Kong - Kaetsu","25847722","""15% off food (Monday to Sunday)""","https://www.redhotoffers.hsbc.com.hk//media/381517/tnc_YRO2016_Batch7_70793_GrandHyattHongKongKaetsu_E.pdf","2016-01-01","2016-12-31","""M/F, 1 Harbour Road, Wan Chai, Hong Kong""","https://www.redhotoffers.hsbc.com.hk/media/381532/logo_YRO2016_Batch7_70791-70795.jpg"
"HSBC-4","en","HSBC","""HSBC Premier credit card"",""HSBC Advance credit card"",""HSBC Platinum credit card"",""HSBC Others credit card""","Grand Hyatt Hong Kong - Tiffin","25847722","""15% off food (Monday to Sunday)""","https://www.redhotoffers.hsbc.com.hk//media/381511/tnc_YRO2016_Batch7_70792_GrandHyattHongKongTiffin_E.pdf","2016-01-01","2016-12-31","""M/F, 1 Harbour Road, Wan Chai, Hong Kong""","https://www.redhotoffers.hsbc.com.hk/media/381532/logo_YRO2016_Batch7_70791-70795.jpg"
"HSBC-5","en","HSBC","""HSBC Premier credit card"",""HSBC Advance credit card"",""HSBC Platinum credit card"",""HSBC Others credit card""","Ah Yat Harbour View Restaturant","23280983","""12% off à la carte""","https://www.redhotoffers.hsbc.com.hk/","2016-01-01","2016-12-31","""Shop 2902, iSquare, 63 Nathan Road, Tsim Sha Tsui""","https://www.redhotoffers.hsbc.com.hk/media/379986/logo_YRO2016_Batch5_50502.jpg"
"HSBC-6","en","HSBC","""HSBC Premier credit card"",""HSBC Advance credit card"",""HSBC Platinum credit card"",""HSBC Others credit card""","The Sky Boss","39551755","""12% off dinner main menu (Monday to Sunday)""","https://www.redhotoffers.hsbc.com.hk//media/1100411/tnc_YRO2016_Batch8_80969_TheSkyBoss_E.pdf","2016-01-01","2016-12-31","""Shop B2, 101/F, International Commerce Centre, 1 Austin Road West, Tsim Sha Tsui""","https://www.redhotoffers.hsbc.com.hk/media/1100414/logo_YRO2016_Batch8_80969.jpg"
"HSBC-7","en","HSBC","""HSBC Premier credit card"",""HSBC Advance credit card"",""HSBC Platinum credit card"",""HSBC Others credit card""","Angelina, Parisian Tearoom, Boutique &amp; Restaurant","","""10% off upon spending at restaurant and boutique""","https://www.redhotoffers.hsbc.com.hk/","2016-01-01","2016-12-31","""Shop 3025-3026, Lane Crawford, Level 3, IFC Mall, 8 Finance Street, Central, Hong Kong""","https://www.redhotoffers.hsbc.com.hk/media/1100232/logo_YRO2016_Batch6_194_Angelina.jpg"
"HSBC-8","en","HSBC","""HSBC Premier credit card"",""HSBC Advance credit card"",""HSBC Platinum credit card"",""HSBC Others credit card""","Grand Hyatt Hong Kong - Grissini","25847722","""15% off food (Monday to Sunday)""","https://www.redhotoffers.hsbc.com.hk//media/381535/tnc_YRO2016_Batch7_70794_GrandHyattHongKongGrissini_E.pdf","2016-01-01","2016-12-31","""2/F, 1 Harbour Road, Wan Chai, Hong Kong""","https://www.redhotoffers.hsbc.com.hk/media/381538/logo_YRO2016_Batch7_70791-70795.jpg"
"HSBC-9","en","HSBC","""HSBC Premier credit card"",""HSBC Advance credit card"",""HSBC Platinum credit card"",""HSBC Others credit card""","The Chop House","","""A complimentary dessert per diner upon dine-in dinner spending HK$400 per diner (Sunday to Thursday)""","https://www.redhotoffers.hsbc.com.hk//media/371126/tnc_YRO2016_Batch3_58_TheChopHouse_EN.pdf","2016-01-01","2016-12-31","""Level 3 Soundwill Plaza II - Midtown, 1 Tang Lung Street, Causeway Bay, Hong Kong""","https://www.redhotoffers.hsbc.com.hk/media/371129/logo_YRO2016_Batch3_58_TheChopHouse.jpg"
"HSBC-10","en","HSBC","""HSBC Premier credit card"",""HSBC Advance credit card"",""HSBC Platinum credit card"",""HSBC Others credit card""","Wooloomooloo Steakhouse","","""10% off upon spending HK$1,000 for à la carte dishes""","https://www.redhotoffers.hsbc.com.hk//media/371132/contact_YRO2016_Batch3_59_WooloomoolooSteakhouse_E.pdf","2016-01-01","2016-12-31","","https://www.redhotoffers.hsbc.com.hk/media/371137/logo_YRO2016_Batch3_59_WooloomoolooSteakhouse.jpg"
