"id","language","bank","card","merchant","merchantPhone","benefit","tAndCLink","from","to","storeLocation","imageUrl"
"SC-1","en","Standard Chatard","""Standard Chartered Visa Credit Card"",""Standard Chartered MasterCard"",""Standard Chartered UnionPay Dual Currency Platinum Credit Card""","Tiger Curry","20111051","""10% off all Takeaway orders"",""10% off all dine-in bills over HK$300 (before service charge)""","https://www.sc.com/hk/promotion/credit-cards/year-round-offers-2016/dining-western.html","2016-01-01","2016-12-31","""G/F, 13 Pennington Street, Causeway Bay""","https://www.sc.com/hk/promotion/credit-cards/year-round-offers-2016/images/17-tiger-curry.jpg"
"SC-2","en","Standard Chatard","""Standard Chartered Visa Credit Card"",""Standard Chartered MasterCard"",""Standard Chartered UnionPay Dual Currency Platinum Credit Card"",""Standard Chartered WorldMiles Card (formerly known as Standard Chartered American Express® Card)""","The Langham Hong Kong - Main St. Deli","21327898","""12% off on a la carte food items for lunch and dinner""","https://www.sc.com/hk/promotion/credit-cards/year-round-offers-2016/dining-hotel.html","2016-01-01","2016-12-31","""Lower lobby, The Langham, Hong Kong, 8 Peking Road, Tsim Sha Tsui, Kowloon""","https://www.sc.com/hk/promotion/credit-cards/year-round-offers-2016/images/36.gif"
"SC-3","en","Standard Chatard","""Standard Chartered Visa Credit Card"",""Standard Chartered MasterCard"",""Standard Chartered UnionPay Dual Currency Platinum Credit Card"",""Standard Chartered WorldMiles Card (formerly known as Standard Chartered American Express® Card)""","The Langham Hong Kong - Palm Court","21327898","""12% off on Afternoon Tea""","https://www.sc.com/hk/promotion/credit-cards/year-round-offers-2016/dining-hotel.html","2016-01-01","2016-12-31","""Lobby,The Langham,Hong Kong, 8 Peking Road, Tsim Sha Tsui, Kowloon""","https://www.sc.com/hk/promotion/credit-cards/year-round-offers-2016/images/37.gif"
"SC-4","en","Standard Chatard","""Standard Chartered Visa Credit Card"",""Standard Chartered MasterCard"",""Standard Chartered UnionPay Dual Currency Platinum Credit Card"",""Standard Chartered WorldMiles Card (formerly known as Standard Chartered American Express® Card)""","The Langham Hong Kong - The Bostonian","21327898","""12% off on a la carte food items for lunch and dinner""","https://www.sc.com/hk/promotion/credit-cards/year-round-offers-2016/dining-hotel.html","2016-01-01","2016-12-31","""Lower lobby, The Langham, 8 Peking Road, Tsim Sha Tsui, Kowloon""","https://www.sc.com/hk/promotion/credit-cards/year-round-offers-2016/images/38.gif"
"SC-5","en","Standard Chatard","""Standard Chartered Visa Credit Card"",""Standard Chartered MasterCard"",""Standard Chartered UnionPay Dual Currency Platinum Credit Card"",""Standard Chartered WorldMiles Card (formerly known as Standard Chartered American Express® Card)""","Harbour Plaza Resort City - New York New York Restaurant","21806688","""20% off on lunch buffet and 10% off on dinner buffet on Saturday"",""10% off on lunch buffet and 20% off on dinner buffet on Sunday""","https://www.sc.com/hk/promotion/credit-cards/year-round-offers-2016/dining-hotel.html","2016-01-01","2016-12-31","""G/F, Harbour Plaza Resort City, Hotel Tower II, 18 Tin Yan Road, Tin Shui Wai, New Territories""","https://www.sc.com/hk/promotion/credit-cards/year-round-offers-2016/images/113-harbour-plaza-resort-city-new-york-restaurant.jpg"
"SC-6","en","Standard Chatard","""Standard Chartered Visa Credit Card"",""Standard Chartered MasterCard"",""Standard Chartered UnionPay Dual Currency Platinum Credit Card"",""Standard Chartered WorldMiles Card (formerly known as Standard Chartered American Express® Card)""","Harbour Plaza Resort City - Coffee Corner","21806688","""20% off on food and beverages""","https://www.sc.com/hk/promotion/credit-cards/year-round-offers-2016/dining-hotel.html","2016-01-01","2016-12-31","""G/F, Harbour Plaza Resort City, Hotel Tower II, 18 Tin Yan Road, Tin Shui Wai, New Territories""","https://www.sc.com/hk/promotion/credit-cards/year-round-offers-2016/images/114-harbour-plaza-resort-city-coffee-corner.jpg"
"SC-7","en","Standard Chatard","""Standard Chartered Visa Credit Card"",""Standard Chartered MasterCard"",""Standard Chartered UnionPay Dual Currency Platinum Credit Card"",""Standard Chartered WorldMiles Card (formerly known as Standard Chartered American Express® Card)""","Harbour Plaza Resort City - Li Bai Bar","21806688","""20% off on buffets""","https://www.sc.com/hk/promotion/credit-cards/year-round-offers-2016/dining-hotel.html","2016-01-01","2016-12-31","""G/F, Harbour Plaza Resort City, Hotel Tower I, 12 Tin Yan Road, Tin Shui Wai, New Territories""","https://www.sc.com/hk/promotion/credit-cards/year-round-offers-2016/images/115-harbour-plaza-resort-city-li-bai-bar.jpg"
"SC-8","en","Standard Chatard","""Standard Chartered Visa Credit Card"",""Standard Chartered MasterCard"",""Standard Chartered UnionPay Dual Currency Platinum Credit Card"",""Standard Chartered WorldMiles Card (formerly known as Standard Chartered American Express® Card)""","New World Millennium Hong Kong Hotel - Lobby Lounge","23134210","""15% off on food and beverage""","https://www.sc.com/hk/promotion/credit-cards/year-round-offers-2016/dining-hotel.html","2016-01-01","2016-12-31","""M/F, New World Millennium Hong Kong Hotel, 72 Mody Road,  Tsim Sha Tsui  East, Kowloon""","https://www.sc.com/hk/promotion/credit-cards/year-round-offers-2016/images/186-new-world-millennium-lobby-lounge.jpg"
"SC-9","en","Standard Chatard","""Standard Chartered Visa Credit Card"",""Standard Chartered MasterCard"",""Standard Chartered UnionPay Dual Currency Platinum Credit Card"",""Standard Chartered WorldMiles Card (formerly known as Standard Chartered American Express® Card)""","New World Millennium Hong Kong Hotel - Sagano","23134215","""15% off on food and beverage""","https://www.sc.com/hk/promotion/credit-cards/year-round-offers-2016/dining-hotel.html","2016-01-01","2016-12-31","""1/F, New World Millennium Hong Kong Hotel, 72 Mody Road,  Tsim Sha Tsui  East, Kowloon""","https://www.sc.com/hk/promotion/credit-cards/year-round-offers-2016/images/183-new-world-millennium-hotel-Sagano.jpg"
"SC-10","en","Standard Chatard","""Standard Chartered Visa Credit Card"",""Standard Chartered MasterCard"",""Standard Chartered UnionPay Dual Currency Platinum Credit Card"",""Standard Chartered WorldMiles Card (formerly known as Standard Chartered American Express® Card)""","New World Millennium Hong Kong Hotel - La Table","23134221","""15% off on food and beverage""","https://www.sc.com/hk/promotion/credit-cards/year-round-offers-2016/dining-hotel.html","2016-01-01","2016-12-31","""1/F, New World Millennium Hong Kong Hotel, 72 Mody Road,  Tsim Sha Tsui  East, Kowloon""","https://www.sc.com/hk/promotion/credit-cards/year-round-offers-2016/images/184-new-world-millennium-la-table.jpg"
